GMLId;ParentGMLId;X-coordinate;Y-coordinate;LOD;Year of construction;Refurbishment Variant;Class;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area [m2];Total wall thermal area above ground [m2];Total wall thermal area below ground [m2];Total outwall area [m2];Total sharedwall area [m2];Total roof area [m2];Gross volume [m3];Is Gross volume approximated?;Heated volume [m3];Ridge/mean Height [m];Eaves/mean Height [m];Storey number;Average Storey Height;Attic Heating;Basement Heating;Basement ceiling height above ground;SA2V ratio [m-1];Heated area [m2];Mean Uvalue [W/m2.K];Specific domestic hot water demand [kWh/m2.yr];Specific space heating demand [kWh/m2.yr];Total Yearly Heat+DHW demand [kWh/yr];January Heating Demand [kWh];February Heating Demand [kWh];March Heating Demand [kWh];April Heating Demand [kWh];May Heating Demand [kWh];June Heating Demand [kWh];July Heating Demand [kWh];August Heating Demand [kWh];September Heating Demand [kWh];October Heating Demand [kWh];November Heating Demand [kWh];December Heating Demand [kWh];Specific space Cooling demand [kWh/m2.yr];Yearly Cooling demand [kWh/yr];January Cooling Demand [kWh];February Cooling Demand [kWh];March Cooling Demand [kWh];April Cooling Demand [kWh];May Cooling Demand [kWh];June Cooling Demand [kWh];July Cooling Demand [kWh];August Cooling Demand [kWh];September Cooling Demand [kWh];October Cooling Demand [kWh];November Cooling Demand [kWh];December Cooling Demand [kWh]
gml_YT691905DLE7O02KSW377WSEDRE4DWM5T53H;;299796,81;56446,96;LOD2;1939;Original;undefined;A0;residential;6419,4;none;0,0;GMH;1188,9;5694,8;0,0;5864,7;0,0;1208,7;20667,2;false;20060,6;20,8;17,26;7;2,9;HEATED;NOT_HEATED;0,5;0,40;6419,4;1,53;15,8;91,4;688203;168471;134317;85612;11484;0;0;0;0;0;6900;72119;107618;62,3;399732;3;13;162;3805;39467;80063;126091;101821;46998;1272;30;7
gml_3WTM70QVR0YVD7TLLQ8TMVELXXKHOLMTBZQE;;299611,21;56349,87;LOD2;1939;Original;undefined;A0;residential;3859,7;none;0,0;GMH;827,9;4199,3;0,0;4444,1;0,0;846,7;14947,3;false;14119,4;20,1;18,03;6;3,2;HEATED;NOT_HEATED;1,0;0,41;3859,7;1,53;15,8;105,8;469645;118662;94250;59177;7415;0;0;0;0;0;4132;49750;75123;73,7;284320;4;18;187;3385;28166;56769;90013;72258;32450;1028;34;9
gml_9QRML5OZRB6ENDFQCR2MA97SZSMOJZBQ18LC;;299631,56;56422,81;LOD2;1939;Original;undefined;A0;residential;4280,7;none;0,0;GMH;956,2;4362,2;0,0;4621,9;0,0;1009,7;16717,4;false;15761,3;20,3;17,41;6;3,2;HEATED;NOT_HEATED;1,0;0,39;4280,7;1,52;15,8;103,6;511267;128224;102061;64477;8493;0;0;0;0;0;4697;54119;81390;70,2;300374;4;17;179;3265;29238;60038;95488;76683;34374;1048;32;8
gml_PQE76GXTE35RWAKO1BC9WIS3APKR1GIK5TRI;;299695,22;56394,43;LOD2;1939;Original;undefined;A0;residential;4234,0;none;0,0;GMH;923,3;4378,7;0,0;4639,6;0,0;983,5;16153,8;false;15230,5;19,9;17,42;6;3,1;HEATED;NOT_HEATED;1,0;0,41;4234,0;1,52;15,8;103,8;506570;127216;101209;63946;8237;0;0;0;0;0;4633;53598;80664;71,0;300568;4;17;179;3374;29424;60006;95429;76615;34432;1047;33;8
gml_SQXJ9Q1DC9I70N5SXNT7RPS42FV86K81UXMY;;299655,54;56497,30;LOD2;1939;Original;undefined;A0;residential;5380,2;none;0,0;GMH;944,5;4710,7;0,0;4772,4;0,0;998,4;17037,1;false;16813,0;20,5;17,97;7;2,9;HEATED;NOT_HEATED;0,2;0,39;5380,2;1,53;15,8;89,9;569082;138936;110777;70602;9418;0;0;0;0;0;5743;59565;88820;61,6;331626;2;10;129;3140;32948;66455;104413;84364;39090;1044;24;6
gml_9649JP6OS4FKFYWM52X15VOLF0FYB01JC4XJ;;299591,08;56518,26;LOD2;1939;Original;undefined;A0;residential;4311,9;none;0,0;GMH;932,8;4506,1;0,0;4766,3;0,0;985,1;16843,1;false;15910,3;20,3;18,00;6;3,2;HEATED;NOT_HEATED;1,0;0,40;4311,9;1,53;15,8;104,2;517603;130133;103498;65330;8383;0;0;0;0;0;4699;54774;82485;71,4;307969;4;18;187;3491;30182;61475;97743;78477;35269;1082;34;9
gml_8CDGH2DDDSI3IN3QW4K5L3SOD7AT5NML8JRX;;299567,10;56443,66;LOD2;1939;Original;undefined;A0;residential;4226,1;none;0,0;GMH;927,5;4283,6;0,0;4543,5;0,0;981,4;15957,1;false;15029,7;19,7;17,14;6;3,1;HEATED;NOT_HEATED;1,0;0,40;4226,1;1,52;15,8;102,8;501237;125552;99924;63130;8306;0;0;0;0;0;4624;53031;79728;69,8;294860;4;16;173;3194;28769;58948;93641;75237;33813;1027;31;8
gml_8M31DETM2IMQXLOQLTV9J15TKTR01W5UJ618;;299850,57;56497,26;LOD2;1939;Original;undefined;K2;retail;732,9;none;0,0;RH;588,1;491,8;0,0;596,6;34,5;588,1;3107,7;false;2519,6;7,0;3,85;2;3,0;HEATED;NOT_HEATED;1,0;0,57;732,9;1,06;73,0;111,2;135008;23796;18869;11619;1564;0;0;0;0;0;925;9784;14944;103,6;75957;5;15;117;1445;8712;15044;22261;18257;9431;629;33;10
gml_O5QE50QBI3MPAXMAR1FQQOOPUMCTEKRZS3RP;;299548,37;56370,73;LOD2;1939;Original;undefined;A0;residential;5157,7;none;0,0;GMH;1120,6;5314,4;0,0;5638,2;0,0;1138,7;19432,5;false;18311,9;19,7;17,32;6;3,1;HEATED;NOT_HEATED;1,0;0,41;5157,7;1,53;15,8;103,1;613229;153829;122355;77162;10073;0;0;0;0;0;5589;64882;97642;70,4;362866;4;20;219;3995;35521;72533;115099;92510;41633;1282;39;10
gml_FP3EQ8GU7E8J6UU2C0IWYBKDG5XF0D7ZUA7E;;299465,28;56665,45;LOD2;1939;Original;undefined;K2;retail;457,5;none;0,0;RH;319,6;367,9;0,0;441,0;0,0;319,6;1749,4;false;1429,8;6,9;3,85;2;2,9;HEATED;NOT_HEATED;1,0;0,62;457,5;1,13;73,0;110,1;83762;14830;11682;7085;900;0;0;0;0;0;533;6037;9291;107,8;49335;3;11;87;1031;5771;9747;14283;11759;6164;449;23;7
