GMLId;ParentGMLId;X-coordinate;Y-coordinate;LOD;Year of construction;Refurbishment Variant;Class;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area [m2];Total wall thermal area above ground [m2];Total wall thermal area below ground [m2];Total outwall area [m2];Total sharedwall area [m2];Total roof area [m2];Gross volume [m3];Is Gross volume approximated?;Heated volume [m3];Ridge/mean Height [m];Eaves/mean Height [m];Storey number;Average Storey Height;Attic Heating;Basement Heating;Basement ceiling height above ground;SA2V ratio [m-1];Heated area [m2];Mean Uvalue [W/m2.K];Specific domestic hot water demand [kWh/m2.yr];Specific space heating demand [kWh/m2.yr];Total Yearly Heat+DHW demand [kWh/yr];January Heating Demand [kWh];February Heating Demand [kWh];March Heating Demand [kWh];April Heating Demand [kWh];May Heating Demand [kWh];June Heating Demand [kWh];July Heating Demand [kWh];August Heating Demand [kWh];September Heating Demand [kWh];October Heating Demand [kWh];November Heating Demand [kWh];December Heating Demand [kWh];Specific space Cooling demand [kWh/m2.yr];Yearly Cooling demand [kWh/yr];January Cooling Demand [kWh];February Cooling Demand [kWh];March Cooling Demand [kWh];April Cooling Demand [kWh];May Cooling Demand [kWh];June Cooling Demand [kWh];July Cooling Demand [kWh];August Cooling Demand [kWh];September Cooling Demand [kWh];October Cooling Demand [kWh];November Cooling Demand [kWh];December Cooling Demand [kWh]
gml_0HL2RA0C95L4CSY5BJ7QDGVP7ERQ228Z1COK;;299240,09;56489,12;LOD2;1939;Original;undefined;A0;residential;5758,6;none;0,0;GMH;998,9;4789,7;0,0;4965,6;0,0;1055,4;18667,1;false;17995,7;21,0;18,62;7;2,9;HEATED;NOT_HEATED;0,7;0,38;5758,6;1,53;15,8;86,8;590859;131930;105730;70044;13616;43;0;0;0;0;2958;53730;121592;54,3;312842;12;34;251;2994;23981;67938;95355;80245;38067;3857;99;8
gml_6ZI8BJLBY8JP5ZWV9AR94P17XXOOZUAD980I;;299377,38;56605,24;LOD2;1939;Original;undefined;A0;residential;5877,3;none;0,0;GMH;1002,0;4855,7;0,0;4871,6;0,0;1054,7;18427,5;false;18366,5;20,4;18,34;7;2,9;HEATED;NOT_HEATED;0,1;0,38;5877,3;1,53;15,8;86,2;599859;134110;107311;70722;13662;42;0;0;0;0;2986;54589;123341;54,4;319537;11;32;255;3067;24867;69397;97264;81806;38805;3928;96;8
gml_4OPM074CUTGPWQQ9FCSXM4XS6KWFKQ2I47WV;;299151,76;56676,09;LOD2;1939;Original;undefined;A0;residential;63,7;none;0,0;EFH;72,4;93,7;0,0;119,1;0,0;72,4;252,9;false;199,1;3,5;3,49;1;2,8;NO_ROOM;NOT_HEATED;0,7;1,04;63,7;1,13;15,8;174,9;12155;2953;2390;1605;329;0;0;0;0;0;37;1154;2679;77,1;4909;1;2;9;55;289;1047;1675;1338;444;47;3;1
gml_XVM9OVSDNVV62ZNM0ZF9PPIJTJDY02KZ8SMP;;299311,78;56460,06;LOD2;1939;Original;undefined;A0;residential;6695,3;none;0,0;GMH;1207,2;5672,4;0,0;5810,7;0,0;1225,4;21435,8;false;20922,8;20,7;17,73;7;2,9;HEATED;NOT_HEATED;0,4;0,38;6695,3;1,53;15,8;88,1;695964;155840;124864;82651;16061;50;0;0;0;0;3468;63360;143618;55,1;368957;15;43;311;3598;28255;80094;112520;94639;44764;4586;122;11
gml_GPNX0C79ZX5WQHONUIVPFFNSA8HNVT5LF7V1;;299180,34;56627,07;LOD2;1939;Original;undefined;A0;residential;20354,9;none;0,0;HH;1664,6;14414,0;0,0;14783,8;0,0;1972,2;65273,6;false;63609,0;44,6;38,71;17;2,6;HEATED;NOT_HEATED;1,0;0,28;20354,9;1,55;15,8;65,1;1646707;359563;280012;174518;30574;260;0;0;0;0;8178;138730;332451;60,8;1237740;306;784;4130;29365;126302;256734;336196;288370;160473;33029;1823;229
gml_3SHYLQJBJKNZY2ORNMJPWH8EE6TW50MZXNTE;;299410,57;56690,98;LOD2;1939;Original;undefined;A0;residential;10730,9;none;0,0;GMH;1861,1;8709,5;0,0;8755,6;0,0;1970,4;33714,6;false;33534,1;20,4;18,05;7;2,9;HEATED;NOT_HEATED;0,1;0,37;10730,9;1,52;15,8;85,9;1091362;243164;194920;129209;25004;79;0;0;0;0;5558;99395;224056;53,8;577049;19;57;435;5442;44561;125522;175849;147994;70092;6897;168;14
gml_121RXBY8TU12TQMCNK9HK7ILLQT8TYRS70NG;;299474,11;56402,36;LOD2;1939;Original;undefined;A0;residential;5338,9;none;0,0;GMH;934,7;4714,5;0,0;4718,5;0,0;989,3;16698,2;false;16684,0;20,3;17,80;7;2,9;HEATED;NOT_HEATED;0,0;0,40;5338,9;1,53;15,8;89,4;562130;126612;101217;66519;12918;39;0;0;0;0;2688;51059;116510;56,5;301404;14;39;285;3052;23204;65225;91755;77158;36584;3968;110;10
gml_E2FZQK61YG4ZNXJLVZ7EVD5UOI5AJ1EQA90D;;299157,40;56538,57;LOD2;1939;Original;undefined;A0;residential;2355,5;none;0,0;RH;720,6;1788,4;0,0;1788,4;0,0;720,6;7361,1;false;7361,1;10,2;10,21;4;2,6;NO_ROOM;NO_ROOM;0,0;0,44;2355,5;1,27;15,8;84,3;235850;52991;42123;27335;4799;13;0;0;0;0;1076;21424;48777;57,6;135679;5;14;117;1519;11420;29462;40496;34149;16687;1765;42;3
gml_AM0JREXSAR3L7RAHQDTKNRMFW0FAW3X9MMUV;;299313,66;56579,93;LOD2;1939;Original;undefined;A0;residential;5882,3;none;0,0;GMH;1023,1;4731,6;0,0;4906,9;0,0;1042,6;19075,8;false;18382,1;21,0;18,56;7;2,9;HEATED;NOT_HEATED;0,7;0,37;5882,3;1,53;15,8;85,6;596568;132989;106516;70413;13305;40;0;0;0;0;3081;54554;122496;54,2;319023;9;28;231;3078;25316;69564;96937;81578;38527;3663;84;7
gml_07FDH3LIK3GNIEULQET1A8VAC4RFQRBWJNIJ;;299093,63;56595,69;LOD2;1939;Original;undefined;A0;residential;2295,0;none;0,0;RH;706,9;1767,0;0,0;1767,0;0,0;706,9;7172,0;false;7172,0;10,1;10,15;4;2,5;NO_ROOM;NO_ROOM;0,0;0,44;2295,0;1,27;15,8;85,0;231526;52123;41419;26846;4703;13;0;0;0;0;1050;21042;47978;58,2;133649;5;15;120;1520;11266;29012;39877;33619;16417;1753;42;4
